LAT,LON,Village,DATETIME,TYPE,TERRITOIRE,SECTEUR,GROUPEMENT,AS_,ZS,DATUM,COORDLATLO,TYPE_GPS,SOURCE_DAT,pVillage,CVillage,NC2009,NC2010,NC2011,tot_cases
-2.86979,17.37202,F.BATUNEVEQUE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BATUNEVEQUE,IBOLE FERME BATUNEVEQUE,0,0,0,0
-2.87357,17.36872,F.FRANC,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME FRANC,IBOLE FERME FRANC,0,0,0,0
-2.8654,17.36517,F.MBO,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MBO,IBOLE FERME MBO,0,0,0,0
-2.8402,17.35784,F.BABA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BABA,IBOLE FERME BABA,0,0,0,0
-2.82359,17.34359,F.ZANZIBARE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ZANZIBARE,IBOLE FERME ZANZIBARE,0,0,0,0
-2.87749,17.36503,F.MBONKU,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MBONKU,IBOLE FERME MBONKU,0,0,0,0
-2.90576,17.31913,PORT NGANTOKO,40505.5992,PORT,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT NGANTOKO,IBOLE PORT NGANTOKO,0,0,0,0
-2.90563,17.31892,PS NGANTOKO,40505.5992,PS,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PS NGANTOKO,IBOLE PS NGANTOKO,0,0,0,0
-2.90438,17.3192,NGANTOKO,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGANTOKO,IBOLE NGANTOKO,4,3,2,9
-2.91224,17.30742,F.BATENDE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BATENDE,IBOLE FERME BATENDE,0,0,0,0
-2.90576,17.31912,PORT NGANTOKO,40505.5992,PORT,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT NGANTOKO,IBOLE PORT NGANTOKO,0,0,0,0
-2.87495,17.33204,F.DIDOWAKA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME DIDOWAKA,IBOLE FERME DIDOWAKA,0,0,0,0
-2.8733,17.33676,F.IVUMU,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME IVUMU,IBOLE FERME IVUMU,0,0,0,0
-2.84134,17.29966,F.MIKOMI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MIKOMI,IBOLE FERME MIKOMI,0,0,0,0
-2.83879,17.29639,ETIKE,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ETIKE,IBOLE ETIKE,1,0,0,1
-2.80732,17.30562,F.MACHINE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MACHINE,IBOLE FERME MACHINE,0,0,0,0
-2.7993,17.31165,F.FIDELE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME FIDELE,IBOLE FERME FIDELE,0,0,0,0
-2.79647,17.32655,F.ATANDELE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ATANDELE,IBOLE FERME ATANDELE,0,0,0,0
-2.84608,17.30036,F.MFUKU,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MFUKU,IBOLE FERME MFUKU,0,0,0,0
-2.87449,17.29421,F.LOBOTA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME LOBOTA,IBOLE FERME LOBOTA,0,0,0,0
-2.82232,17.43368,PS NSELE,40505.5992,PS,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PS NSELE,IBOLE PS NSELE,0,0,0,0
-2.82288,17.4327,NSELE,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NSELE,IBOLE NSELE,0,0,0,0
-2.84495,17.41969,NGABE,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGABE,IBOLE NGABE,0,0,0,0
-2.84857,17.41605,CAMPEMENT NGABE,40505.5992,CAMPEMENT,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,CAMPEMENT NGABE,IBOLE CAMPEMENT NGABE,0,0,0,0
-2.84025,17.40319,F.PAULIN,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME PAULIN,IBOLE FERME PAULIN,0,0,0,0
-2.81878,17.39443,F.CHARU,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME CHARU,IBOLE FERME CHARU,0,0,0,0
-2.76118,17.41989,F.JEAN LOUIS,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME JEAN LOUIS,IBOLE FERME JEAN LOUIS,0,0,0,0
-2.76088,17.40721,F.SOULE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME SOULE,IBOLE FERME SOULE,0,0,0,0
-2.73037,17.41294,F.NGWAKA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGWAKA,IBOLE FERME NGWAKA,0,0,0,0
-2.73097,17.43023,F.CHARLE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME CHARLE,IBOLE FERME CHARLE,0,0,0,0
-2.80915,17.45103,F.LIPUTA MAYELE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME LIPUTA MAYELE,IBOLE FERME LIPUTA MAYELE,0,0,0,0
-2.79699,17.46091,MOLOKAYI,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,MOLOKAYI,IBOLE MOLOKAYI,0,0,0,0
-2.80376,17.46218,F.BERCY,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BERCY,IBOLE FERME BERCY,0,0,0,0
-2.80475,17.46281,F.MOFULI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MOFULI,IBOLE FERME MOFULI,0,0,0,0
-2.80103,17.47066,IVOIRE,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,IVOIRE,IBOLE IVOIRE,0,0,0,0
-2.80872,17.47361,F.MBEE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MBEE,IBOLE FERME MBEE,0,0,0,0
-2.79728,17.4725,F.KAMBA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME KAMBA,IBOLE FERME KAMBA,0,0,0,0
-2.79374,17.47731,F.TWEMBE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME TWEMBE,IBOLE FERME TWEMBE,0,0,0,0
-2.79874,17.49689,IKUMU,40505.5992,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,IKUMU,IBOLE IKUMU,0,0,0,0
-2.78686,17.47458,F.MPIELE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MPIELE,IBOLE FERME MPIELE,0,0,0,0
-2.7859,17.47348,F.MABILA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MABILA,IBOLE FERME MABILA,0,0,0,0
-2.78217,17.47076,F.KIBOTA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME KIBOTA,IBOLE FERME KIBOTA,0,0,0,0
-2.77189,17.46929,F.OSATORE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME OSATORE,IBOLE FERME OSATORE,0,0,0,0
-2.77536,17.48408,F.NGWA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGWA,IBOLE FERME NGWA,0,0,0,0
-2.7618,17.4859,F.DESERE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME DESERE,IBOLE FERME DESERE,0,0,0,0
-2.74007,17.48661,F.NKOSI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NKOSI,IBOLE FERME NKOSI,0,0,0,0
-2.7185,17.48638,F.TIKAZUWA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME TIKAZUWA,IBOLE FERME TIKAZUWA,0,0,0,0
-2.70511,17.48425,F.TAYI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME TAYI,IBOLE FERME TAYI,0,0,0,0
-2.7283,17.49208,F.BAMBOYO,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAMBOYO,IBOLE FERME BAMBOYO,0,0,0,0
-2.73101,17.49474,F.INNONCENT,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME INNONCENT,IBOLE FERME INNONCENT,0,0,0,0
-2.73006,17.50926,F.IPAKI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME IPAKI,IBOLE FERME IPAKI,0,0,0,0
-2.72826,17.50926,F.CAMPUS,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME CAMPUS,IBOLE FERME CAMPUS,0,0,0,0
-2.72406,17.51072,F.NKIRI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NKIRI,IBOLE FERME NKIRI,0,0,0,0
-2.72346,17.5114,F.NKIRI II,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NKIRI II,IBOLE FERME NKIRI II,0,0,0,0
-2.72025,17.51189,F.SALAOZWA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME SALAOZWA,IBOLE FERME SALAOZWA,0,0,0,0
-2.71361,17.51107,F.BOO,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BOO,IBOLE FERME BOO,0,0,0,0
-2.70341,17.51221,F.KOTA OKEBA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME KOTA OKEBA,IBOLE FERME KOTA OKEBA,0,0,0,0
-2.70405,17.50491,F.TOBOYI BA KALE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME TOBOYI BA KALE,IBOLE FERME TOBOYI BA KALE,0,0,0,0
-2.70538,17.50317,F.OLINGI OYE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME OLINGI OYE,IBOLE FERME OLINGI OYE,0,0,0,0
-2.70191,17.51095,F.MUDIEMBER,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MUDIEMBER,IBOLE FERME MUDIEMBER,0,0,0,0
-2.69575,17.51125,F.MISU KOTALA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MISU KOTALA,IBOLE FERME MISU KOTALA,0,0,0,0
-2.69031,17.49009,F.CHANCELINE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME CHANCELINE,IBOLE FERME CHANCELINE,0,0,0,0
-2.68733,17.4895,F.BIKENDE BIZONGA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BIKENDE BIZONGA,IBOLE FERME BIKENDE BIZONGA,0,0,0,0
-2.68412,17.49132,F.NZOYI,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NZOYI,IBOLE FERME NZOYI,0,0,0,0
-2.69715,17.48814,F.DONA,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME DONA,IBOLE FERME DONA,0,0,0,0
-2.78252,17.48127,F.ILEBO,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ILEBO,IBOLE FERME ILEBO,0,0,0,0
-2.83127,17.44698,PORT IBOLE,40505.5992,PORT,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT IBOLE,IBOLE PORT IBOLE,0,0,0,0
-2.8226,17.49882,F.BAKOTOYO I,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAKOTOYO I,IBOLE FERME BAKOTOYO I,0,0,0,0
-2.81713,17.50721,F.BAKOTOYO II,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAKOTOYO II,IBOLE FERME BAKOTOYO II,0,0,0,0
-2.81264,17.53893,F.BISENGO,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BISENGO,IBOLE FERME BISENGO,0,0,0,0
-2.79435,17.56012,F.MOBENZALE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MOBENZALE,IBOLE FERME MOBENZALE,0,0,0,0
-2.77638,17.57314,F.OSEWA LOPEMBE,40505.5992,FERME,MUSHIE,BABOMA NORD,BANUNU,IBOLE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME OSEWA LOPEMBE,IBOLE FERME OSEWA LOPEMBE,0,0,0,0
-2.23179,17.61213,F.NGANDA KASAI,40510.54383,FERME,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGANDA KASAI,IKILI FERME NGANDA KASAI,0,0,0,0
-2.23621,17.61705,F.NGANDA  NKEKO,40510.54383,FERME,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGANDA  NKEKO,IKILI FERME NGANDA  NKEKO,0,0,0,0
-2.23871,17.61721,F.NKIE,40510.54383,FERME,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NKIE,IKILI FERME NKIE,0,0,0,0
-2.24781,17.6192,PORT NKIE,40510.54383,PORT,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT NKIE,IKILI PORT NKIE,0,0,0,0
-2.25034,17.61855,EP CATHOLIQUE NKIE,40510.54383,EP,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP CATHOLIQUE NKIE,IKILI EP CATHOLIQUE NKIE,0,0,0,0
-2.25012,17.61958,ECOLE SECONDAIRE NKIE,40510.54383,ES,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ECOLE SECONDAIRE NKIE,IKILI ECOLE SECONDAIRE NKIE,0,0,0,0
-2.24855,17.62037,PORT BANGOKANI,40510.54383,PORT,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT BANGOKANI,IKILI PORT BANGOKANI,0,0,0,0
-2.24895,17.61965,NKIE,40510.54383,VILLAGE,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NKIE,IKILI NKIE,0,0,0,0
-2.28338,17.65692,PORT IKILI,40510.54383,PORT,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT IKILI,IKILI PORT IKILI,0,0,0,0
-2.2837,17.66541,CAMPEMENT NKAA,40510.54383,CAMPEMENT,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,CAMPEMENT NKAA,IKILI CAMPEMENT NKAA,0,0,0,0
-2.28388,17.65586,CS IKILI,40510.54383,CS,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,IKILI,IKILI IKILI,0,0,0,0
-2.28701,17.65737,ES NZALI,40510.54383,ES,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ES NZALI,IKILI ES NZALI,0,0,0,0
-2.28693,17.64243,PONT DWE,40510.54383,PONT DE FORTUNE,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT DWE,IKILI PONT DWE,0,0,0,0
-2.31038,17.61614,F.KEKOSO 19 MAISONS,40510.54383,FERME,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME KEKOSO 19 MAISONS,IKILI FERME KEKOSO 19 MAISONS,0,0,0,0
-2.30811,17.61337,F.NGANDA IKWA,40510.54383,FERME,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGANDA IKWA,IKILI FERME NGANDA IKWA,0,0,0,0
-2.27656,17.61013,MBOMWALE,40510.54383,VILLAGE,MUSHIE,BABOMA NORD,BAMPEE,IKILI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,MBOMWALE,IKILI MBOMWALE,0,0,0,0
-2.37587,17.11135,CS ISALI,40505.65657,CS,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ISALI,ISALI ISALI,2,0,0,2
-2.37623,17.11106,ISALI,40505.65657,VILLAGE,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ISALI,ISALI ISALI,2,0,0,2
-2.37733,17.11033,EP CATHOLIQUE ISALI,40505.65657,EP,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP CATHOLIQUE ISALI,ISALI EP CATHOLIQUE ISALI,0,0,0,0
-2.38331,17.10766,PONT ZWU,40505.65657,PONT,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT ZWU,ISALI PONT ZWU,0,0,0,0
-2.38356,17.10777,PONT LILIVOO,40505.65657,PONT,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT LILIVOO,ISALI PONT LILIVOO,0,0,0,0
-2.38802,17.10896,F.FUNGA,40505.65657,FERME,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME FUNGA,ISALI FERME FUNGA,0,0,0,0
-2.3908,17.10635,PONT VUU,40505.65657,PONT,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT VUU,ISALI PONT VUU,0,0,0,0
-2.39256,17.10508,F.IBENGU,40505.65657,FERME,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME IBENGU,ISALI FERME IBENGU,0,0,0,0
-2.39574,17.10658,MPOKO,40505.65657,VILLAGE,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,MPOKO,ISALI MPOKO,0,1,0,1
-2.39824,17.10648,ES MPOKO,40505.65657,ES,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ES MPOKO,ISALI ES MPOKO,0,0,0,0
-2.41917,17.14327,F.EMBANA,40505.65657,FERME,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME EMBANA,ISALI FERME EMBANA,0,0,0,0
-2.40643,17.125,NDONGO,40505.65657,VILLAGE,MUSHIE,MBALI,BABOMA NORD,ISALI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NDONGO,ISALI NDONGO,0,0,0,0
